,,,,,,,,,,
Key: Market,Key: Index (Market Area + Budget),Make and Model,Average Annual Earnings Rounded,Average Annual ROI,Vehicle Value,Annual Loan Cost,Average Annual Earnings Rounded,Vehicle Value Rounded,Loan Cost Rounded,Concat
Anchorage,Anchorage$10K to $25K,Mazda Mazda3,,4.4249,,,21116.16,17567,3892.47,AnchorageMazda Mazda3
Anchorage,Anchorage$10K to $25K,Nissan Versa,,4.1871,,,15443.79,13437,2977.35,AnchorageNissan Versa
Anchorage,Anchorage$10K to $25K,Ford Focus,,4.1832,,,12848.22,11187,2478.8,AnchorageFord Focus
Honolulu,Honolulu$10K to $25K,Mitsubishi Mirage,,4.0624,,,13274.43,11834,2622.16,HonoluluMitsubishi Mirage
Anchorage,Anchorage$10K to $25K,Nissan Versa Note,,3.9806,,,13490.2,12224,2708.58,AnchorageNissan Versa Note
Anchorage,Anchorage$10K to $25K,Chevrolet Cruze,,3.7725,,,11780.48,11140,2468.38,AnchorageChevrolet Cruze
Anchorage,Anchorage$10K to $25K,Dodge Journey,,3.7383,,,17023.02,16214,3592.67,AnchorageDodge Journey
Anchorage,Anchorage$10K to $25K,Ford Ecosport,,3.6945,,,15737.29,15129,3352.26,AnchorageFord Ecosport
Anchorage,Anchorage$10K to $25K,Dodge Grand Caravan,,3.6742,,,16807.4,16228,3595.78,AnchorageDodge Grand Caravan
Anchorage,Anchorage$10K to $25K,Hyundai Elantra,,3.4653,,,16282.65,16457,3646.52,AnchorageHyundai Elantra
Honolulu,Honolulu$10K to $25K,Dodge Grand Caravan,,3.3579,,,15669.86,16228,3595.78,HonoluluDodge Grand Caravan
Honolulu,Honolulu$10K to $25K,Chevrolet Cruze,,3.3257,,,10677.5,11140,2468.38,HonoluluChevrolet Cruze
Honolulu,Honolulu$10K to $25K,Jeep Wrangler Jk,,3.2473,,,21010.37,22325,4946.74,HonoluluJeep Wrangler Jk
Honolulu,Honolulu$10K to $25K,Chevrolet Spark,,3.2268,,,11208.89,11968,2651.85,HonoluluChevrolet Spark
